epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.681640625,-0.6555891633033752,,
,0.001,0.001,,99,,,,
0,,,,99,0.75,-0.7117255926132202,,
0,,,,107,,,0.7576000094413757,-0.7326580882072449
0,,,8.764021873474121,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.84765625,-0.8174409866333008,,
,0.001,0.001,,199,,,,
1,,,,199,0.826171875,-0.8009905815124512,,
1,,,,215,,,0.8492000102996826,-0.8294991254806519
1,,,6.564368724822998,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.92578125,-0.8858423233032227,,
,0.001,0.001,,299,,,,
2,,,,299,0.93359375,-0.9103788733482361,,
2,,,,323,,,0.9225999712944031,-0.9008386731147766
2,,,6.4601826667785645,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.939453125,-0.9190973043441772,,
,0.001,0.001,,399,,,,
3,,,,399,0.939453125,-0.918839693069458,,
3,,,,431,,,0.9314000010490417,-0.9153477549552917
3,,,5.697425365447998,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.93359375,-0.9204997420310974,,
,0.001,0.001,,499,,,,
4,,,,499,0.931640625,-0.9138895869255066,,
4,,,,539,,,0.9391999840736389,-0.924752950668335
4,,,5.045149326324463,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.9609375,-0.9431923031806946,,
,0.001,0.001,,599,,,,
5,,,,599,0.94921875,-0.9363970756530762,,
5,,,,647,,,0.9448000192642212,-0.9316689372062683
5,,,8.395055770874023,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.958984375,-0.942803144454956,,
,0.001,0.001,,699,,,,
6,,,,699,0.951171875,-0.9427672028541565,,
,0.001,0.001,,749,,,,
6,,,,749,0.943359375,-0.9243019223213196,,
6,,,,755,,,0.9488000273704529,-0.9358728528022766
6,,,4.166880130767822,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.947265625,-0.9404809474945068,,
,0.001,0.001,,849,,,,
7,,,,849,0.9765625,-0.9636337757110596,,
7,,,,863,,,0.9524000287055969,-0.9412089586257935
7,,,7.033698081970215,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.978515625,-0.972435712814331,,
,0.001,0.001,,949,,,,
8,,,,949,0.962890625,-0.9528684616088867,,
8,,,,971,,,0.9562000036239624,-0.9440154433250427
8,,,5.713504791259766,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.96875,-0.9605821967124939,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.978515625,-0.9682050347328186,,
9,,,,1079,,,0.9588000178337097,-0.9475781321525574
9,,,4.550143241882324,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.970703125,-0.9638478755950928,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.96875,-0.9566485285758972,,
10,,,,1187,,,0.9598000049591064,-0.949211835861206
10,,,7.295427322387695,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.98046875,-0.9723339676856995,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.98046875,-0.9714396595954895,,
11,,,,1295,,,0.9598000049591064,-0.9517908096313477
11,,,8.099716186523438,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.982421875,-0.9703653454780579,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.962890625,-0.9591549634933472,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.96875,-0.9574275612831116,,
12,,,,1403,,,0.9634000062942505,-0.9535945057868958
12,,,6.236861705780029,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.96875,-0.9648578763008118,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.974609375,-0.9683107137680054,,
13,,,,1511,,,0.9631999731063843,-0.95428067445755
13,,,6.533219814300537,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.98046875,-0.9691336154937744,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.982421875,-0.9751604199409485,,
14,,,,1619,,,0.9648000001907349,-0.9560086131095886
14,,,6.298638820648193,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.974609375,-0.9683330655097961,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.978515625,-0.9739274382591248,,
15,,,,1727,,,0.9664000272750854,-0.9570888876914978
15,,,6.370510578155518,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.984375,-0.9767518043518066,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.990234375,-0.982380211353302,,
16,,,,1835,,,0.9661999940872192,-0.9578307867050171
16,,,6.445491790771484,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.98828125,-0.9793493151664734,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.986328125,-0.9789705276489258,,
17,,,,1943,,,0.9656000137329102,-0.9583845734596252
17,,,6.510958671569824,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.994140625,-0.9869522452354431,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.986328125,-0.9818646311759949,,
18,,,4.243671417236328,1999,,,,
