epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.00047500000000249995,0.00047500000000249995,,49,,,,
0,,,,49,0.564453125,-0.42790699005126953,,
,0.00047500000000249995,0.00047500000000249995,,99,,,,
0,,,,99,0.59765625,-0.5424519181251526,,
0,,,,107,,,0.6952000260353088,-0.6297452449798584
0,,,5.56705904006958,107,,,,
,0.00047500000000249995,0.00047500000000249995,,149,,,,
1,,,,149,0.740234375,-0.6952908635139465,,
,0.00047500000000249995,0.00047500000000249995,,199,,,,
1,,,,199,0.814453125,-0.7641144394874573,,
1,,,,215,,,0.8325999975204468,-0.7849650382995605
1,,,7.32295036315918,215,,,,
,0.00047500000000249995,0.00047500000000249995,,249,,,,
2,,,,249,0.828125,-0.7911195158958435,,
,0.00047500000000249995,0.00047500000000249995,,299,,,,
2,,,,299,0.859375,-0.8272348642349243,,
2,,,,323,,,0.8447999954223633,-0.8172701597213745
2,,,5.834732532501221,323,,,,
,0.00047500000000249995,0.00047500000000249995,,349,,,,
3,,,,349,0.8203125,-0.7944470047950745,,
,0.00047500000000249995,0.00047500000000249995,,399,,,,
3,,,,399,0.857421875,-0.8319661617279053,,
3,,,,431,,,0.8518000245094299,-0.8309882879257202
3,,,6.352321147918701,431,,,,
,0.00047500000000249995,0.00047500000000249995,,449,,,,
4,,,,449,0.845703125,-0.8285609483718872,,
,0.00047500000000249995,0.00047500000000249995,,499,,,,
4,,,,499,0.8359375,-0.8144963383674622,,
4,,,,539,,,0.8569999933242798,-0.8386144638061523
4,,,7.966002941131592,539,,,,
,0.00047500000000249995,0.00047500000000249995,,549,,,,
5,,,,549,0.841796875,-0.8253945708274841,,
,0.00047500000000249995,0.00047500000000249995,,599,,,,
5,,,,599,0.876953125,-0.8612143397331238,,
5,,,,647,,,0.8586000204086304,-0.8439323306083679
5,,,4.598935127258301,647,,,,
,0.00047500000000249995,0.00047500000000249995,,649,,,,
6,,,,649,0.87109375,-0.8533704280853271,,
,0.00047500000000249995,0.00047500000000249995,,699,,,,
6,,,,699,0.8515625,-0.841666579246521,,
,0.00047500000000249995,0.00047500000000249995,,749,,,,
6,,,,749,0.916015625,-0.8849362730979919,,
6,,,,755,,,0.907800018787384,-0.8811341524124146
6,,,7.711610794067383,755,,,,
,0.00047500000000249995,0.00047500000000249995,,799,,,,
7,,,,799,0.943359375,-0.9088040590286255,,
,0.00047500000000249995,0.00047500000000249995,,849,,,,
7,,,,849,0.92578125,-0.9041529893875122,,
7,,,,863,,,0.9344000220298767,-0.9120441675186157
7,,,4.313230514526367,863,,,,
,0.00047500000000249995,0.00047500000000249995,,899,,,,
8,,,,899,0.923828125,-0.9066444039344788,,
,0.00047500000000249995,0.00047500000000249995,,949,,,,
8,,,,949,0.943359375,-0.9245201349258423,,
8,,,,971,,,0.9373999834060669,-0.9203803539276123
8,,,5.5266876220703125,971,,,,
,0.00047500000000249995,0.00047500000000249995,,999,,,,
9,,,,999,0.94921875,-0.9331539869308472,,
,0.00047500000000249995,0.00047500000000249995,,1049,,,,
9,,,,1049,0.94140625,-0.9252811670303345,,
9,,,,1079,,,0.942799985408783,-0.9260279536247253
9,,,6.038362979888916,1079,,,,
,0.00047500000000249995,0.00047500000000249995,,1099,,,,
10,,,,1099,0.9453125,-0.9317469596862793,,
,0.00047500000000249995,0.00047500000000249995,,1149,,,,
10,,,,1149,0.9609375,-0.942628800868988,,
10,,,,1187,,,0.946399986743927,-0.930867075920105
10,,,6.841753005981445,1187,,,,
,0.00047500000000249995,0.00047500000000249995,,1199,,,,
11,,,,1199,0.958984375,-0.9376932382583618,,
,0.00047500000000249995,0.00047500000000249995,,1249,,,,
11,,,,1249,0.970703125,-0.9525248408317566,,
11,,,,1295,,,0.9490000009536743,-0.9345384836196899
11,,,6.958138465881348,1295,,,,
,0.00047500000000249995,0.00047500000000249995,,1299,,,,
12,,,,1299,0.95703125,-0.9427055716514587,,
,0.00047500000000249995,0.00047500000000249995,,1349,,,,
12,,,,1349,0.955078125,-0.9424710869789124,,
,0.00047500000000249995,0.00047500000000249995,,1399,,,,
12,,,,1399,0.947265625,-0.9352162480354309,,
12,,,,1403,,,0.9498000144958496,-0.9374492168426514
12,,,5.156431674957275,1403,,,,
,0.00047500000000249995,0.00047500000000249995,,1449,,,,
13,,,,1449,0.953125,-0.9454007744789124,,
,0.00047500000000249995,0.00047500000000249995,,1499,,,,
13,,,,1499,0.953125,-0.9455674886703491,,
13,,,,1511,,,0.9520000219345093,-0.9401757121086121
13,,,6.014461517333984,1511,,,,
,0.00047500000000249995,0.00047500000000249995,,1549,,,,
14,,,,1549,0.958984375,-0.9452382326126099,,
,0.00047500000000249995,0.00047500000000249995,,1599,,,,
14,,,,1599,0.95703125,-0.9495730400085449,,
14,,,,1619,,,0.954200029373169,-0.9420040845870972
14,,,6.985347747802734,1619,,,,
,0.00047500000000249995,0.00047500000000249995,,1649,,,,
15,,,,1649,0.955078125,-0.9401805400848389,,
,0.00047500000000249995,0.00047500000000249995,,1699,,,,
15,,,,1699,0.947265625,-0.9363749027252197,,
15,,,,1727,,,0.9545999765396118,-0.9442983269691467
15,,,6.095860004425049,1727,,,,
,0.00047500000000249995,0.00047500000000249995,,1749,,,,
16,,,,1749,0.9609375,-0.9476119875907898,,
,0.00047500000000249995,0.00047500000000249995,,1799,,,,
16,,,,1799,0.970703125,-0.9594986438751221,,
16,,,,1835,,,0.9553999900817871,-0.9454816579818726
16,,,7.949418067932129,1835,,,,
,0.00047500000000249995,0.00047500000000249995,,1849,,,,
17,,,,1849,0.96484375,-0.9544193744659424,,
,0.00047500000000249995,0.00047500000000249995,,1899,,,,
17,,,,1899,0.978515625,-0.9649978876113892,,
17,,,,1943,,,0.9557999968528748,-0.9467597603797913
17,,,5.773301601409912,1943,,,,
,0.00047500000000249995,0.00047500000000249995,,1949,,,,
18,,,,1949,0.966796875,-0.9582317471504211,,
,0.00047500000000249995,0.00047500000000249995,,1999,,,,
18,,,,1999,0.955078125,-0.9493510127067566,,
18,,,8.518284797668457,1999,,,,
