epoch,lr-FloraAdamFactoredMAS/pg1,lr-FloraAdamFactoredMAS/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.67578125,-0.6288202404975891,,
,0.001,0.001,,99,,,,
0,,,,99,0.65625,-0.6351182460784912,,
0,,,,107,,,0.676800012588501,-0.6470697522163391
0,,,9.92495059967041,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.646484375,-0.6291035413742065,,
,0.001,0.001,,199,,,,
1,,,,199,0.748046875,-0.7189308404922485,,
1,,,,215,,,0.7494000196456909,-0.7241579294204712
1,,,11.620450019836426,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.736328125,-0.7176225185394287,,
,0.001,0.001,,299,,,,
2,,,,299,0.74609375,-0.7322950959205627,,
2,,,,323,,,0.7563999891281128,-0.741436243057251
2,,,12.635790824890137,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.736328125,-0.7238579988479614,,
,0.001,0.001,,399,,,,
3,,,,399,0.7421875,-0.7288787961006165,,
3,,,,431,,,0.7620000243186951,-0.7491231560707092
3,,,7.673436641693115,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.791015625,-0.7783249616622925,,
,0.001,0.001,,499,,,,
4,,,,499,0.767578125,-0.7549659609794617,,
4,,,,539,,,0.7638000249862671,-0.7526618838310242
4,,,12.907363891601562,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.7578125,-0.7526301145553589,,
,0.001,0.001,,599,,,,
5,,,,599,0.75390625,-0.7437797784805298,,
5,,,,647,,,0.7638000249862671,-0.7553138732910156
5,,,9.083256721496582,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.787109375,-0.775361180305481,,
,0.001,0.001,,699,,,,
6,,,,699,0.77734375,-0.7658369541168213,,
,0.001,0.001,,749,,,,
6,,,,749,0.77734375,-0.7634091973304749,,
6,,,,755,,,0.7657999992370605,-0.7584320902824402
6,,,12.923362731933594,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.763671875,-0.7581472992897034,,
,0.001,0.001,,849,,,,
7,,,,849,0.751953125,-0.7485820651054382,,
7,,,,863,,,0.7667999863624573,-0.7606238126754761
7,,,8.491422653198242,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.76171875,-0.7560532093048096,,
,0.001,0.001,,949,,,,
8,,,,949,0.736328125,-0.729990541934967,,
8,,,,971,,,0.7688000202178955,-0.7623152136802673
8,,,10.221662521362305,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.77734375,-0.7681875824928284,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.76953125,-0.7655003666877747,,
9,,,,1079,,,0.8417999744415283,-0.8230797648429871
9,,,8.196484565734863,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.8671875,-0.8441056609153748,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.828125,-0.8180967569351196,,
10,,,,1187,,,0.847599983215332,-0.8345975875854492
10,,,8.657888412475586,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.86328125,-0.849483847618103,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.8515625,-0.8401285409927368,,
11,,,,1295,,,0.849399983882904,-0.8392279148101807
11,,,9.572229385375977,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.869140625,-0.8541075587272644,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.857421875,-0.8500051498413086,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.853515625,-0.8478431105613708,,
12,,,,1403,,,0.8478000164031982,-0.8375825881958008
12,,,13.897347450256348,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.83984375,-0.8333526253700256,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.83203125,-0.8211098909378052,,
13,,,,1511,,,0.8518000245094299,-0.8416951298713684
13,,,8.407639503479004,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.87109375,-0.8632723689079285,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.87109375,-0.8559951782226562,,
14,,,,1619,,,0.8568000197410583,-0.8461686372756958
14,,,13.044384002685547,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.86328125,-0.851781964302063,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.8984375,-0.8881604075431824,,
15,,,,1727,,,0.8574000000953674,-0.8476522564888
15,,,10.167412757873535,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.873046875,-0.8631801605224609,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.857421875,-0.8542739748954773,,
16,,,,1835,,,0.8583999872207642,-0.8496308326721191
16,,,12.274266242980957,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.8671875,-0.8600367903709412,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.853515625,-0.8441208600997925,,
17,,,,1943,,,0.859000027179718,-0.8505614399909973
17,,,10.261885643005371,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.85546875,-0.84801185131073,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.875,-0.8670792579650879,,
18,,,10.020608901977539,1999,,,,
