epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.80078125,-0.6200429201126099,,
,0.001,0.001,,99,,,,
0,,,,99,0.828125,-0.7649869918823242,,
0,,,,107,,,0.8230000138282776,-0.7686840295791626
0,,,9.061223983764648,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.8359375,-0.805275022983551,,
,0.001,0.001,,199,,,,
1,,,,199,0.81640625,-0.783275306224823,,
1,,,,215,,,0.8366000056266785,-0.8095688819885254
1,,,3.945401430130005,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.849609375,-0.8302459716796875,,
,0.001,0.001,,299,,,,
2,,,,299,0.833984375,-0.8161265850067139,,
2,,,,323,,,0.8453999757766724,-0.8250694274902344
2,,,6.478102684020996,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.861328125,-0.8463559746742249,,
,0.001,0.001,,399,,,,
3,,,,399,0.849609375,-0.8344572186470032,,
3,,,,431,,,0.8501999974250793,-0.8335257768630981
3,,,9.177494049072266,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.869140625,-0.8461388945579529,,
,0.001,0.001,,499,,,,
4,,,,499,0.83984375,-0.8283181190490723,,
4,,,,539,,,0.8550000190734863,-0.8409911394119263
4,,,4.786468029022217,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.869140625,-0.8521533012390137,,
,0.001,0.001,,599,,,,
5,,,,599,0.859375,-0.8418857455253601,,
5,,,,647,,,0.8587999939918518,-0.8454285264015198
5,,,6.013027667999268,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.85546875,-0.8421429991722107,,
,0.001,0.001,,699,,,,
6,,,,699,0.85546875,-0.8512970805168152,,
,0.001,0.001,,749,,,,
6,,,,749,0.849609375,-0.834002673625946,,
6,,,,755,,,0.8611999750137329,-0.8494442105293274
6,,,9.490364074707031,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.849609375,-0.8374385833740234,,
,0.001,0.001,,849,,,,
7,,,,849,0.880859375,-0.8729397058486938,,
7,,,,863,,,0.8646000027656555,-0.8529609441757202
7,,,5.885545253753662,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.873046875,-0.8621941804885864,,
,0.001,0.001,,949,,,,
8,,,,949,0.865234375,-0.8580681085586548,,
8,,,,971,,,0.8655999898910522,-0.855803906917572
8,,,5.967640399932861,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.93359375,-0.9100562930107117,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.94140625,-0.9212216734886169,,
9,,,,1079,,,0.9290000200271606,-0.9135229587554932
9,,,5.358579635620117,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.951171875,-0.9384422898292542,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.931640625,-0.9158890843391418,,
10,,,,1187,,,0.9341999888420105,-0.9195098876953125
10,,,6.766115188598633,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.958984375,-0.9434956908226013,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.958984375,-0.9398241639137268,,
11,,,,1295,,,0.9359999895095825,-0.9248722791671753
11,,,7.988090515136719,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.955078125,-0.9411674737930298,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.94921875,-0.9341260194778442,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.94140625,-0.9213336110115051,,
12,,,,1403,,,0.9380000233650208,-0.9261327385902405
12,,,6.157373428344727,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.9453125,-0.9354314804077148,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.95703125,-0.9443998336791992,,
13,,,,1511,,,0.9405999779701233,-0.9298136830329895
13,,,7.011937618255615,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.958984375,-0.9453715085983276,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.97265625,-0.955899715423584,,
14,,,,1619,,,0.9452000260353088,-0.9332619905471802
14,,,6.267712116241455,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.955078125,-0.9413783550262451,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.958984375,-0.9522216320037842,,
15,,,,1727,,,0.9444000124931335,-0.9351566433906555
15,,,6.693192005157471,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.962890625,-0.9499059915542603,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.9609375,-0.9543646574020386,,
16,,,,1835,,,0.9449999928474426,-0.9369418025016785
16,,,5.924788951873779,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.951171875,-0.943504273891449,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.966796875,-0.9529728889465332,,
17,,,,1943,,,0.9466000199317932,-0.9381380081176758
17,,,6.8787078857421875,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.966796875,-0.9604910612106323,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.9765625,-0.9655327796936035,,
18,,,7.134803771972656,1999,,,,
