epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.01,0.01,,49,,,,
0,,,,49,0.93359375,-0.919408917427063,,
,0.01,0.01,,99,,,,
0,,,,99,0.931640625,-0.9201580882072449,,
0,,,,107,,,0.9362000226974487,-0.9249994158744812
0,,,7.193434715270996,107,,,,
,0.01,0.01,,149,,,,
1,,,,149,0.958984375,-0.9470768570899963,,
,0.01,0.01,,199,,,,
1,,,,199,0.951171875,-0.9408949017524719,,
1,,,,215,,,0.9534000158309937,-0.9436274170875549
1,,,5.623786926269531,215,,,,
,0.01,0.01,,249,,,,
2,,,,249,0.96484375,-0.9570941925048828,,
,0.01,0.01,,299,,,,
2,,,,299,0.962890625,-0.9548879265785217,,
2,,,,323,,,0.9581999778747559,-0.9497471451759338
2,,,6.271048545837402,323,,,,
,0.01,0.01,,349,,,,
3,,,,349,0.974609375,-0.9645474553108215,,
,0.01,0.01,,399,,,,
3,,,,399,0.962890625,-0.9594982862472534,,
3,,,,431,,,0.9598000049591064,-0.9539209008216858
3,,,7.381190776824951,431,,,,
,0.01,0.01,,449,,,,
4,,,,449,0.962890625,-0.956537663936615,,
,0.01,0.01,,499,,,,
4,,,,499,0.955078125,-0.9495224952697754,,
4,,,,539,,,0.9616000056266785,-0.9553083777427673
4,,,5.128661632537842,539,,,,
,0.01,0.01,,549,,,,
5,,,,549,0.98828125,-0.9816962480545044,,
,0.01,0.01,,599,,,,
5,,,,599,0.98046875,-0.9726837873458862,,
5,,,,647,,,0.9649999737739563,-0.9594501852989197
5,,,6.178285598754883,647,,,,
,0.01,0.01,,649,,,,
6,,,,649,0.982421875,-0.9750143885612488,,
,0.01,0.01,,699,,,,
6,,,,699,0.9765625,-0.9713141322135925,,
,0.01,0.01,,749,,,,
6,,,,749,0.974609375,-0.9684244990348816,,
6,,,,755,,,0.9642000198364258,-0.9599517583847046
6,,,3.569880723953247,755,,,,
,0.01,0.01,,799,,,,
7,,,,799,0.970703125,-0.9685243368148804,,
,0.01,0.01,,849,,,,
7,,,,849,0.98828125,-0.9823395013809204,,
7,,,,863,,,0.9643999934196472,-0.95939040184021
7,,,7.055718421936035,863,,,,
,0.01,0.01,,899,,,,
8,,,,899,0.994140625,-0.9897990822792053,,
,0.01,0.01,,949,,,,
8,,,,949,0.982421875,-0.979396402835846,,
8,,,,971,,,0.965399980545044,-0.9622260928153992
8,,,4.2050676345825195,971,,,,
,0.01,0.01,,999,,,,
9,,,,999,0.986328125,-0.9824946522712708,,
,0.01,0.01,,1049,,,,
9,,,,1049,0.990234375,-0.9829080104827881,,
9,,,,1079,,,0.9670000076293945,-0.9631231427192688
9,,,3.485856294631958,1079,,,,
,0.01,0.01,,1099,,,,
10,,,,1099,0.984375,-0.9801925420761108,,
,0.01,0.01,,1149,,,,
10,,,,1149,0.978515625,-0.9762862920761108,,
10,,,,1187,,,0.9664000272750854,-0.9624996185302734
10,,,5.1634111404418945,1187,,,,
,0.01,0.01,,1199,,,,
11,,,,1199,0.986328125,-0.985902726650238,,
,0.01,0.01,,1249,,,,
11,,,,1249,0.986328125,-0.9844091534614563,,
11,,,,1295,,,0.9685999751091003,-0.9647364020347595
11,,,7.6377482414245605,1295,,,,
,0.01,0.01,,1299,,,,
12,,,,1299,0.982421875,-0.9818825721740723,,
,0.01,0.01,,1349,,,,
12,,,,1349,0.970703125,-0.9720818996429443,,
,0.01,0.01,,1399,,,,
12,,,,1399,0.974609375,-0.9686655402183533,,
12,,,,1403,,,0.9664000272750854,-0.9632485508918762
12,,,3.7674551010131836,1403,,,,
,0.01,0.01,,1449,,,,
13,,,,1449,0.984375,-0.978983461856842,,
,0.01,0.01,,1499,,,,
13,,,,1499,0.982421875,-0.9807556867599487,,
13,,,,1511,,,0.9656000137329102,-0.9639568328857422
13,,,7.8828125,1511,,,,
,0.01,0.01,,1549,,,,
14,,,,1549,0.984375,-0.9823313355445862,,
,0.01,0.01,,1599,,,,
14,,,,1599,0.982421875,-0.9765796661376953,,
14,,,,1619,,,0.9678000211715698,-0.9644070267677307
14,,,6.465927600860596,1619,,,,
,0.01,0.01,,1649,,,,
15,,,,1649,0.982421875,-0.9825611114501953,,
,0.01,0.01,,1699,,,,
15,,,,1699,0.96875,-0.968636155128479,,
15,,,,1727,,,0.9678000211715698,-0.9641027450561523
15,,,7.183150291442871,1727,,,,
,0.01,0.01,,1749,,,,
16,,,,1749,0.986328125,-0.981991708278656,,
,0.01,0.01,,1799,,,,
16,,,,1799,0.984375,-0.979771077632904,,
16,,,,1835,,,0.9674000144004822,-0.96413254737854
16,,,7.0592827796936035,1835,,,,
,0.01,0.01,,1849,,,,
17,,,,1849,0.98828125,-0.9831621646881104,,
,0.01,0.01,,1899,,,,
17,,,,1899,0.98046875,-0.9777280688285828,,
17,,,,1943,,,0.967199981212616,-0.9656413197517395
17,,,7.816532135009766,1943,,,,
,0.01,0.01,,1949,,,,
18,,,,1949,0.9921875,-0.989058256149292,,
,0.01,0.01,,1999,,,,
18,,,,1999,0.984375,-0.9827288389205933,,
18,,,5.552548408508301,1999,,,,
