epoch,lr-FloraAdamFactoredMAS/pg1,lr-FloraAdamFactoredMAS/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.763671875,-0.7584649324417114,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.74609375,-0.7420476078987122,,
0,,,,107,,,0.7598000168800354,-0.7478896379470825
0,,,6.8652777671813965,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.724609375,-0.7146355509757996,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.76953125,-0.7622600197792053,,
1,,,,215,,,0.7666000127792358,-0.7589262127876282
1,,,8.115314483642578,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.7578125,-0.7529869675636292,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.7734375,-0.7755881547927856,,
2,,,,323,,,0.7699999809265137,-0.762141764163971
2,,,6.866185188293457,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.779296875,-0.771990180015564,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.7421875,-0.7384341359138489,,
3,,,,431,,,0.7720000147819519,-0.7688515782356262
3,,,6.565583229064941,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.794921875,-0.7882345914840698,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.73828125,-0.7388750314712524,,
4,,,,539,,,0.772599995136261,-0.7671871781349182
4,,,6.925009250640869,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.798828125,-0.7937637567520142,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.78125,-0.776469349861145,,
5,,,,647,,,0.776199996471405,-0.7711509466171265
5,,,7.666712760925293,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.798828125,-0.7949786186218262,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.755859375,-0.7479856014251709,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.77734375,-0.7701932191848755,,
6,,,,755,,,0.7742000222206116,-0.7694680094718933
6,,,6.780713081359863,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.802734375,-0.7974952459335327,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.759765625,-0.7545689344406128,,
7,,,,863,,,0.7767999768257141,-0.7731736302375793
7,,,6.814879417419434,863,,,,
,0.009500000000049998,0.009500000000049998,,899,,,,
8,,,,899,0.78125,-0.777165949344635,,
,0.009500000000049998,0.009500000000049998,,949,,,,
8,,,,949,0.78125,-0.7729060053825378,,
8,,,,971,,,0.7749999761581421,-0.7709218263626099
8,,,6.686120510101318,971,,,,
,0.009500000000049998,0.009500000000049998,,999,,,,
9,,,,999,0.76953125,-0.7605106830596924,,
,0.009500000000049998,0.009500000000049998,,1049,,,,
9,,,,1049,0.763671875,-0.7598462104797363,,
9,,,,1079,,,0.7785999774932861,-0.7737773656845093
9,,,10.815370559692383,1079,,,,
,0.009500000000049998,0.009500000000049998,,1099,,,,
10,,,,1099,0.80078125,-0.799727201461792,,
,0.009500000000049998,0.009500000000049998,,1149,,,,
10,,,,1149,0.74609375,-0.7425302863121033,,
10,,,,1187,,,0.7771999835968018,-0.7741571068763733
10,,,6.748000144958496,1187,,,,
,0.009500000000049998,0.009500000000049998,,1199,,,,
11,,,,1199,0.767578125,-0.7652882933616638,,
,0.009500000000049998,0.009500000000049998,,1249,,,,
11,,,,1249,0.763671875,-0.7634044289588928,,
11,,,,1295,,,0.775600016117096,-0.7732571363449097
11,,,7.264787197113037,1295,,,,
,0.009500000000049998,0.009500000000049998,,1299,,,,
12,,,,1299,0.79296875,-0.7906564474105835,,
,0.009500000000049998,0.009500000000049998,,1349,,,,
12,,,,1349,0.796875,-0.7922499179840088,,
,0.009500000000049998,0.009500000000049998,,1399,,,,
12,,,,1399,0.7734375,-0.769822895526886,,
12,,,,1403,,,0.7753999829292297,-0.7714520692825317
12,,,6.7705464363098145,1403,,,,
,0.009500000000049998,0.009500000000049998,,1449,,,,
13,,,,1449,0.7734375,-0.772251307964325,,
,0.009500000000049998,0.009500000000049998,,1499,,,,
13,,,,1499,0.767578125,-0.7626189589500427,,
13,,,,1511,,,0.7784000039100647,-0.7741302251815796
13,,,6.5042405128479,1511,,,,
,0.009500000000049998,0.009500000000049998,,1549,,,,
14,,,,1549,0.79296875,-0.7888092398643494,,
,0.009500000000049998,0.009500000000049998,,1599,,,,
14,,,,1599,0.7890625,-0.7844008803367615,,
14,,,,1619,,,0.777999997138977,-0.7729976773262024
14,,,6.58349084854126,1619,,,,
,0.009500000000049998,0.009500000000049998,,1649,,,,
15,,,,1649,0.78125,-0.7824451923370361,,
,0.009500000000049998,0.009500000000049998,,1699,,,,
15,,,,1699,0.833984375,-0.8283984661102295,,
15,,,,1727,,,0.7710000276565552,-0.7675110101699829
15,,,6.706583499908447,1727,,,,
,0.009500000000049998,0.009500000000049998,,1749,,,,
16,,,,1749,0.78125,-0.7744568586349487,,
,0.009500000000049998,0.009500000000049998,,1799,,,,
16,,,,1799,0.7578125,-0.756353497505188,,
16,,,,1835,,,0.7767999768257141,-0.7737912535667419
16,,,8.420555114746094,1835,,,,
,0.009500000000049998,0.009500000000049998,,1849,,,,
17,,,,1849,0.771484375,-0.7665014266967773,,
