epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.004750000000024999,0.004750000000024999,,849,,,,
7,,,,849,0.974609375,-0.964512050151825,,
7,,,,863,,,0.9621999859809875,-0.9523639678955078
7,,,4.045907497406006,863,,,,
,0.004750000000024999,0.004750000000024999,,899,,,,
8,,,,899,0.982421875,-0.9719760417938232,,
,0.004750000000024999,0.004750000000024999,,949,,,,
8,,,,949,0.98046875,-0.972478449344635,,
8,,,,971,,,0.9678000211715698,-0.957714855670929
8,,,3.9816019535064697,971,,,,
,0.004750000000024999,0.004750000000024999,,999,,,,
9,,,,999,0.9765625,-0.9670564532279968,,
,0.004750000000024999,0.004750000000024999,,1049,,,,
9,,,,1049,0.970703125,-0.963793158531189,,
9,,,,1079,,,0.9667999744415283,-0.9575388431549072
9,,,3.9899630546569824,1079,,,,
,0.004750000000024999,0.004750000000024999,,1099,,,,
10,,,,1099,0.998046875,-0.9882907867431641,,
,0.004750000000024999,0.004750000000024999,,1149,,,,
10,,,,1149,0.982421875,-0.9768146276473999,,
10,,,,1187,,,0.9670000076293945,-0.9582037925720215
10,,,3.9352500438690186,1187,,,,
,0.004750000000024999,0.004750000000024999,,1199,,,,
11,,,,1199,0.978515625,-0.9697670340538025,,
,0.004750000000024999,0.004750000000024999,,1249,,,,
11,,,,1249,0.990234375,-0.9807305335998535,,
11,,,,1295,,,0.9660000205039978,-0.9585105180740356
11,,,4.080453872680664,1295,,,,
,0.004750000000024999,0.004750000000024999,,1299,,,,
12,,,,1299,0.9921875,-0.9814271330833435,,
,0.004750000000024999,0.004750000000024999,,1349,,,,
12,,,,1349,0.984375,-0.9799379110336304,,
,0.004750000000024999,0.004750000000024999,,1399,,,,
12,,,,1399,0.994140625,-0.9843539595603943,,
12,,,,1403,,,0.9682000279426575,-0.9606740474700928
12,,,3.9480462074279785,1403,,,,
,0.004750000000024999,0.004750000000024999,,1449,,,,
13,,,,1449,0.986328125,-0.976579487323761,,
,0.004750000000024999,0.004750000000024999,,1499,,,,
13,,,,1499,0.9765625,-0.9639056324958801,,
13,,,,1511,,,0.9711999893188477,-0.9624404311180115
13,,,3.986546277999878,1511,,,,
,0.004750000000024999,0.004750000000024999,,1549,,,,
14,,,,1549,0.98828125,-0.9809080362319946,,
,0.004750000000024999,0.004750000000024999,,1599,,,,
14,,,,1599,0.984375,-0.979523241519928,,
14,,,,1619,,,0.9706000089645386,-0.9626402258872986
14,,,4.669713020324707,1619,,,,
,0.004750000000024999,0.004750000000024999,,1649,,,,
15,,,,1649,0.984375,-0.9759754538536072,,
,0.004750000000024999,0.004750000000024999,,1699,,,,
15,,,,1699,0.982421875,-0.9771013855934143,,
15,,,,1727,,,0.9714000225067139,-0.964144229888916
15,,,4.38491678237915,1727,,,,
,0.004750000000024999,0.004750000000024999,,1749,,,,
16,,,,1749,0.984375,-0.98072749376297,,
,0.004750000000024999,0.004750000000024999,,1799,,,,
16,,,,1799,0.98828125,-0.9836797118186951,,
16,,,,1835,,,0.9697999954223633,-0.9625603556632996
16,,,3.9252684116363525,1835,,,,
,0.004750000000024999,0.004750000000024999,,1849,,,,
17,,,,1849,0.978515625,-0.9733347296714783,,
,0.004750000000024999,0.004750000000024999,,1899,,,,
17,,,,1899,0.9921875,-0.9838550090789795,,
17,,,,1943,,,0.9675999879837036,-0.9611807465553284
17,,,3.8745276927948,1943,,,,
,0.004750000000024999,0.004750000000024999,,1949,,,,
18,,,,1949,0.986328125,-0.9830725193023682,,
,0.004750000000024999,0.004750000000024999,,1999,,,,
18,,,,1999,0.990234375,-0.9875604510307312,,
18,,,4.24591064453125,1999,,,,
