epoch,lr-FloraAdamDecreasingRanks/pg1,lr-FloraAdamDecreasingRanks/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.7265625,-0.7185275554656982,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.705078125,-0.696362316608429,,
0,,,,107,,,0.7620000243186951,-0.7416332960128784
0,,,6.233426094055176,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.76171875,-0.752829909324646,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.76171875,-0.7598576545715332,,
1,,,,215,,,0.7585999965667725,-0.7416067719459534
1,,,6.0030741691589355,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.76171875,-0.7573990821838379,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.810546875,-0.7974275350570679,,
2,,,,323,,,0.7667999863624573,-0.7599484324455261
2,,,5.573647975921631,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.751953125,-0.741508960723877,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.84765625,-0.8365923166275024,,
3,,,,431,,,0.8392000198364258,-0.8275355696678162
3,,,6.860166549682617,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.83203125,-0.8274132609367371,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.818359375,-0.819484293460846,,
4,,,,539,,,0.8443999886512756,-0.8381327986717224
4,,,6.462296485900879,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.830078125,-0.8180522322654724,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.859375,-0.8585426211357117,,
5,,,,647,,,0.8420000076293945,-0.836510956287384
5,,,6.002898216247559,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.859375,-0.8504713177680969,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.84375,-0.8392976522445679,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.853515625,-0.842215895652771,,
6,,,,755,,,0.8392000198364258,-0.827182412147522
6,,,5.9050092697143555,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.8515625,-0.8485962152481079,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.826171875,-0.8239706754684448,,
7,,,,863,,,0.8428000211715698,-0.8364435434341431
7,,,5.662555694580078,863,,,,
,0.009500000000049998,0.009500000000049998,,899,,,,
