epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.004750000000024999,0.004750000000024999,,49,,,,
0,,,,49,0.689453125,-0.684085488319397,,
,0.004750000000024999,0.004750000000024999,,99,,,,
0,,,,99,0.67578125,-0.6699719429016113,,
0,,,,107,,,0.7558000087738037,-0.7414352893829346
0,,,4.979020595550537,107,,,,
,0.004750000000024999,0.004750000000024999,,149,,,,
1,,,,149,0.728515625,-0.721240222454071,,
,0.004750000000024999,0.004750000000024999,,199,,,,
1,,,,199,0.779296875,-0.7703430652618408,,
1,,,,215,,,0.782800018787384,-0.775956392288208
1,,,4.406594753265381,215,,,,
,0.004750000000024999,0.004750000000024999,,249,,,,
2,,,,249,0.76953125,-0.7648151516914368,,
,0.004750000000024999,0.004750000000024999,,299,,,,
2,,,,299,0.80859375,-0.8013520240783691,,
2,,,,323,,,0.7874000072479248,-0.782537579536438
2,,,4.565742015838623,323,,,,
,0.004750000000024999,0.004750000000024999,,349,,,,
3,,,,349,0.78515625,-0.7836293578147888,,
,0.004750000000024999,0.004750000000024999,,399,,,,
3,,,,399,0.76953125,-0.7638068199157715,,
3,,,,431,,,0.7918000221252441,-0.7867013216018677
3,,,6.361784934997559,431,,,,
,0.004750000000024999,0.004750000000024999,,449,,,,
4,,,,449,0.814453125,-0.8103554844856262,,
,0.004750000000024999,0.004750000000024999,,499,,,,
4,,,,499,0.875,-0.8644548654556274,,
4,,,,539,,,0.8790000081062317,-0.8722925782203674
4,,,5.717740058898926,539,,,,
,0.004750000000024999,0.004750000000024999,,549,,,,
5,,,,549,0.89453125,-0.8896730542182922,,
,0.004750000000024999,0.004750000000024999,,599,,,,
5,,,,599,0.87890625,-0.872338056564331,,
5,,,,647,,,0.8830000162124634,-0.8778649568557739
5,,,7.389972686767578,647,,,,
,0.004750000000024999,0.004750000000024999,,649,,,,
6,,,,649,0.912109375,-0.9075963497161865,,
,0.004750000000024999,0.004750000000024999,,699,,,,
6,,,,699,0.849609375,-0.8453238606452942,,
,0.004750000000024999,0.004750000000024999,,749,,,,
6,,,,749,0.88671875,-0.880194902420044,,
6,,,,755,,,0.9233999848365784,-0.9106055498123169
6,,,8.593445777893066,755,,,,
,0.004750000000024999,0.004750000000024999,,799,,,,
7,,,,799,0.974609375,-0.9697908163070679,,
,0.004750000000024999,0.004750000000024999,,849,,,,
7,,,,849,0.9765625,-0.9693011045455933,,
7,,,,863,,,0.9628000259399414,-0.9577540159225464
7,,,5.761983871459961,863,,,,
