epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.02,0.02,,49,,,,
0,,,,49,0.783203125,-0.7790710926055908,,
,0.02,0.02,,99,,,,
0,,,,99,0.759765625,-0.7522222995758057,,
0,,,,107,,,0.7788000106811523,-0.7709084749221802
0,,,7.244834899902344,107,,,,
,0.02,0.02,,149,,,,
1,,,,149,0.734375,-0.725307285785675,,
,0.02,0.02,,199,,,,
1,,,,199,0.7734375,-0.7664527893066406,,
1,,,,215,,,0.7839999794960022,-0.7781102061271667
1,,,7.0299811363220215,215,,,,
,0.02,0.02,,249,,,,
2,,,,249,0.7734375,-0.7669563293457031,,
,0.02,0.02,,299,,,,
2,,,,299,0.8046875,-0.7991954684257507,,
2,,,,323,,,0.7832000255584717,-0.7793190479278564
2,,,3.4859766960144043,323,,,,
,0.02,0.02,,349,,,,
3,,,,349,0.79296875,-0.7836719155311584,,
,0.02,0.02,,399,,,,
3,,,,399,0.751953125,-0.7443833351135254,,
3,,,,431,,,0.7838000059127808,-0.7794582843780518
3,,,4.2703704833984375,431,,,,
,0.02,0.02,,449,,,,
4,,,,449,0.8125,-0.809674859046936,,
,0.02,0.02,,499,,,,
4,,,,499,0.76171875,-0.756103515625,,
4,,,,539,,,0.7838000059127808,-0.7802703380584717
4,,,7.7843098640441895,539,,,,
,0.02,0.02,,549,,,,
5,,,,549,0.80859375,-0.8029299378395081,,
,0.02,0.02,,599,,,,
5,,,,599,0.78125,-0.7804582715034485,,
5,,,,647,,,0.7815999984741211,-0.778602123260498
5,,,5.688577651977539,647,,,,
,0.02,0.02,,649,,,,
6,,,,649,0.80859375,-0.8051761388778687,,
,0.02,0.02,,699,,,,
6,,,,699,0.7578125,-0.7533987164497375,,
,0.02,0.02,,749,,,,
6,,,,749,0.7890625,-0.786501944065094,,
6,,,,755,,,0.7886000275611877,-0.785712480545044
6,,,5.936511516571045,755,,,,
,0.02,0.02,,799,,,,
7,,,,799,0.87109375,-0.8631172776222229,,
,0.02,0.02,,849,,,,
7,,,,849,0.84765625,-0.842179000377655,,
7,,,,863,,,0.8593999743461609,-0.8548062443733215
7,,,6.19206428527832,863,,,,
,0.02,0.02,,899,,,,
8,,,,899,0.859375,-0.8549482822418213,,
,0.02,0.02,,949,,,,
8,,,,949,0.8671875,-0.8604533672332764,,
8,,,,971,,,0.8644000291824341,-0.860488772392273
8,,,4.446206092834473,971,,,,
,0.02,0.02,,999,,,,
9,,,,999,0.8671875,-0.8650539517402649,,
,0.02,0.02,,1049,,,,
9,,,,1049,0.853515625,-0.8510752320289612,,
9,,,,1079,,,0.8597999811172485,-0.8582665920257568
9,,,5.887060642242432,1079,,,,
,0.02,0.02,,1099,,,,
10,,,,1099,0.876953125,-0.8741426467895508,,
,0.02,0.02,,1149,,,,
10,,,,1149,0.845703125,-0.8429326415061951,,
10,,,,1187,,,0.8601999878883362,-0.8583523631095886
10,,,8.496556282043457,1187,,,,
,0.02,0.02,,1199,,,,
11,,,,1199,0.87109375,-0.8677907586097717,,
,0.02,0.02,,1249,,,,
11,,,,1249,0.876953125,-0.8766586184501648,,
11,,,,1295,,,0.8691999912261963,-0.8654747009277344
11,,,5.047184944152832,1295,,,,
,0.02,0.02,,1299,,,,
12,,,,1299,0.888671875,-0.8853738307952881,,
,0.02,0.02,,1349,,,,
12,,,,1349,0.94921875,-0.9451563954353333,,
,0.02,0.02,,1399,,,,
12,,,,1399,0.9609375,-0.9544928669929504,,
12,,,,1403,,,0.9476000070571899,-0.9448966979980469
12,,,6.324819087982178,1403,,,,
,0.02,0.02,,1449,,,,
13,,,,1449,0.94140625,-0.9395624399185181,,
,0.02,0.02,,1499,,,,
13,,,,1499,0.9609375,-0.9565531611442566,,
13,,,,1511,,,0.9524000287055969,-0.9483174085617065
13,,,5.697389602661133,1511,,,,
,0.02,0.02,,1549,,,,
14,,,,1549,0.951171875,-0.9481114745140076,,
,0.02,0.02,,1599,,,,
14,,,,1599,0.958984375,-0.9551135301589966,,
14,,,,1619,,,0.9509999752044678,-0.9473109245300293
14,,,5.9088544845581055,1619,,,,
,0.02,0.02,,1649,,,,
15,,,,1649,0.9609375,-0.9553130269050598,,
,0.02,0.02,,1699,,,,
15,,,,1699,0.970703125,-0.9670220613479614,,
15,,,,1727,,,0.9526000022888184,-0.9486463665962219
15,,,4.974907398223877,1727,,,,
,0.02,0.02,,1749,,,,
16,,,,1749,0.966796875,-0.9644364714622498,,
,0.02,0.02,,1799,,,,
16,,,,1799,0.947265625,-0.9441810846328735,,
16,,,,1835,,,0.9508000016212463,-0.9470199346542358
16,,,7.878777980804443,1835,,,,
,0.02,0.02,,1849,,,,
17,,,,1849,0.9609375,-0.9548141360282898,,
,0.02,0.02,,1899,,,,
17,,,,1899,0.9453125,-0.9433600306510925,,
17,,,,1943,,,0.9521999955177307,-0.9504093527793884
17,,,4.943233489990234,1943,,,,
,0.02,0.02,,1949,,,,
18,,,,1949,0.947265625,-0.9414142370223999,,
,0.02,0.02,,1999,,,,
18,,,,1999,0.966796875,-0.9576748609542847,,
18,,,8.163275718688965,1999,,,,
