epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.0005,0.0005,,49,,,,
0,,,,49,0.447265625,-0.3417440354824066,,
,0.0005,0.0005,,99,,,,
0,,,,99,0.6171875,-0.5152338743209839,,
0,,,,107,,,0.7049999833106995,-0.5843709111213684
0,,,8.948702812194824,107,,,,
,0.0005,0.0005,,149,,,,
1,,,,149,0.705078125,-0.6347907185554504,,
,0.0005,0.0005,,199,,,,
1,,,,199,0.72265625,-0.667606770992279,,
1,,,,215,,,0.7351999878883362,-0.682334303855896
1,,,10.2785062789917,215,,,,
