epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.837890625,-0.83265221118927,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.875,-0.8708395957946777,,
6,,,,755,,,0.878600001335144,-0.874214231967926
6,,,5.69168758392334,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.91796875,-0.9126899242401123,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.8828125,-0.8785637021064758,,
7,,,,863,,,0.8817999958992004,-0.8770488500595093
7,,,4.64826774597168,863,,,,
,0.009500000000049998,0.009500000000049998,,899,,,,
8,,,,899,0.89453125,-0.8893833756446838,,
,0.009500000000049998,0.009500000000049998,,949,,,,
8,,,,949,0.890625,-0.8858627676963806,,
8,,,,971,,,0.8855999708175659,-0.8815450072288513
8,,,8.107633590698242,971,,,,
,0.009500000000049998,0.009500000000049998,,999,,,,
9,,,,999,0.87890625,-0.87602299451828,,
,0.009500000000049998,0.009500000000049998,,1049,,,,
9,,,,1049,0.890625,-0.8878818154335022,,
9,,,,1079,,,0.9524000287055969,-0.9455682635307312
9,,,7.6531267166137695,1079,,,,
,0.009500000000049998,0.009500000000049998,,1099,,,,
10,,,,1099,0.9765625,-0.9669368267059326,,
,0.009500000000049998,0.009500000000049998,,1149,,,,
10,,,,1149,0.962890625,-0.9536599516868591,,
10,,,,1187,,,0.9625999927520752,-0.9570302963256836
10,,,7.057800769805908,1187,,,,
,0.009500000000049998,0.009500000000049998,,1199,,,,
11,,,,1199,0.98046875,-0.9766436219215393,,
,0.009500000000049998,0.009500000000049998,,1249,,,,
11,,,,1249,0.9765625,-0.9721676707267761,,
11,,,,1295,,,0.9628000259399414,-0.960045337677002
11,,,4.504168510437012,1295,,,,
,0.009500000000049998,0.009500000000049998,,1299,,,,
12,,,,1299,0.984375,-0.9785611033439636,,
,0.009500000000049998,0.009500000000049998,,1349,,,,
12,,,,1349,0.98046875,-0.9777030944824219,,
,0.009500000000049998,0.009500000000049998,,1399,,,,
12,,,,1399,0.97265625,-0.9679312109947205,,
12,,,,1403,,,0.9674000144004822,-0.962923526763916
12,,,4.404322147369385,1403,,,,
,0.009500000000049998,0.009500000000049998,,1449,,,,
13,,,,1449,0.97265625,-0.9681452512741089,,
,0.009500000000049998,0.009500000000049998,,1499,,,,
13,,,,1499,0.98046875,-0.9772017002105713,,
13,,,,1511,,,0.9693999886512756,-0.9668282270431519
13,,,6.62738561630249,1511,,,,
,0.009500000000049998,0.009500000000049998,,1549,,,,
14,,,,1549,0.986328125,-0.9841845631599426,,
,0.009500000000049998,0.009500000000049998,,1599,,,,
14,,,,1599,0.98828125,-0.9827803373336792,,
14,,,,1619,,,0.9684000015258789,-0.9650277495384216
14,,,5.089076519012451,1619,,,,
,0.009500000000049998,0.009500000000049998,,1649,,,,
15,,,,1649,0.9765625,-0.9753683805465698,,
,0.009500000000049998,0.009500000000049998,,1699,,,,
15,,,,1699,0.990234375,-0.983984649181366,,
15,,,,1727,,,0.9718000292778015,-0.9674127697944641
15,,,4.6696600914001465,1727,,,,
,0.009500000000049998,0.009500000000049998,,1749,,,,
16,,,,1749,0.98046875,-0.9748336672782898,,
,0.009500000000049998,0.009500000000049998,,1799,,,,
16,,,,1799,0.982421875,-0.9779636263847351,,
16,,,,1835,,,0.9685999751091003,-0.9641850590705872
16,,,5.842782020568848,1835,,,,
,0.009500000000049998,0.009500000000049998,,1849,,,,
17,,,,1849,0.986328125,-0.9865249991416931,,
,0.009500000000049998,0.009500000000049998,,1899,,,,
17,,,,1899,0.974609375,-0.9734070897102356,,
17,,,,1943,,,0.9692000150680542,-0.9669825434684753
17,,,4.64727258682251,1943,,,,
,0.009500000000049998,0.009500000000049998,,1949,,,,
18,,,,1949,0.98828125,-0.9827836751937866,,
,0.009500000000049998,0.009500000000049998,,1999,,,,
18,,,,1999,0.98828125,-0.9838829040527344,,
18,,,8.616783142089844,1999,,,,
