epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.66015625,-0.5459572076797485,,
,0.001,0.001,,99,,,,
0,,,,99,0.685546875,-0.6308587789535522,,
0,,,,107,,,0.7325999736785889,-0.6796973347663879
0,,,6.885056972503662,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.759765625,-0.7255151867866516,,
,0.001,0.001,,199,,,,
1,,,,199,0.73828125,-0.7213535308837891,,
1,,,,215,,,0.7405999898910522,-0.7164783477783203
1,,,6.974869728088379,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.7265625,-0.7081682682037354,,
,0.001,0.001,,299,,,,
2,,,,299,0.744140625,-0.7243049740791321,,
2,,,,323,,,0.7476000189781189,-0.7309141755104065
2,,,6.804460048675537,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.78125,-0.7632871866226196,,
,0.001,0.001,,399,,,,
3,,,,399,0.779296875,-0.7692944407463074,,
3,,,,431,,,0.8062000274658203,-0.7758853435516357
3,,,6.80663537979126,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.802734375,-0.7768660187721252,,
,0.001,0.001,,499,,,,
4,,,,499,0.8125,-0.7894266843795776,,
4,,,,539,,,0.8259999752044678,-0.8087421655654907
4,,,6.677018642425537,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.8125,-0.7979559302330017,,
,0.001,0.001,,599,,,,
5,,,,599,0.849609375,-0.8313103914260864,,
5,,,,647,,,0.8306000232696533,-0.815483570098877
5,,,4.556744575500488,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.8359375,-0.8227530717849731,,
,0.001,0.001,,699,,,,
6,,,,699,0.826171875,-0.812877357006073,,
,0.001,0.001,,749,,,,
6,,,,749,0.830078125,-0.8161726593971252,,
6,,,,755,,,0.8317999839782715,-0.8200556635856628
6,,,6.413750648498535,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.859375,-0.8443983197212219,,
,0.001,0.001,,849,,,,
7,,,,849,0.8515625,-0.8380725383758545,,
7,,,,863,,,0.8353999853134155,-0.823292076587677
7,,,7.624600887298584,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.810546875,-0.7943756580352783,,
,0.001,0.001,,949,,,,
8,,,,949,0.837890625,-0.8218973278999329,,
8,,,,971,,,0.8378000259399414,-0.8267360329627991
8,,,8.346733093261719,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.81640625,-0.8018769025802612,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.822265625,-0.811042308807373,,
9,,,,1079,,,0.8381999731063843,-0.8290149569511414
9,,,3.9296891689300537,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.8359375,-0.8284765481948853,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.841796875,-0.8283684849739075,,
10,,,,1187,,,0.8393999934196472,-0.831443727016449
10,,,8.553608894348145,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.845703125,-0.8403596878051758,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.93359375,-0.9150805473327637,,
11,,,,1295,,,0.9192000031471252,-0.9079845547676086
11,,,8.414909362792969,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.93359375,-0.9174898862838745,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.923828125,-0.9092196226119995,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.927734375,-0.9087996482849121,,
12,,,,1403,,,0.9232000112533569,-0.9109030961990356
12,,,5.998071193695068,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.92578125,-0.9125382900238037,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.9375,-0.9206738471984863,,
13,,,,1511,,,0.9232000112533569,-0.9068698287010193
13,,,7.563790321350098,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.923828125,-0.9086839556694031,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.927734375,-0.9236010313034058,,
14,,,,1619,,,0.925000011920929,-0.9139459133148193
14,,,6.477594375610352,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.923828125,-0.9109609127044678,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.916015625,-0.9035046100616455,,
15,,,,1727,,,0.9308000206947327,-0.9180474877357483
15,,,8.419608116149902,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.93359375,-0.9170355200767517,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.94140625,-0.9292201995849609,,
16,,,,1835,,,0.9309999942779541,-0.9211156368255615
16,,,8.773155212402344,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.92578125,-0.9225955605506897,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.943359375,-0.9257714748382568,,
17,,,,1943,,,0.9359999895095825,-0.9231287240982056
17,,,4.843888282775879,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.9375,-0.9331687688827515,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.939453125,-0.9277504086494446,,
18,,,6.300083637237549,1999,,,,
