epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,9.500000000050003e-05,9.500000000050003e-05,,49,,,,
0,,,,49,0.337890625,-0.16281776130199432,,
,9.500000000050003e-05,9.500000000050003e-05,,99,,,,
0,,,,99,0.4375,-0.2944055199623108,,
0,,,,107,,,0.47040000557899475,-0.323825478553772
0,,,6.429583549499512,107,,,,
,9.500000000050003e-05,9.500000000050003e-05,,149,,,,
1,,,,149,0.439453125,-0.35943013429641724,,
,9.500000000050003e-05,9.500000000050003e-05,,199,,,,
1,,,,199,0.5703125,-0.4583666920661926,,
1,,,,215,,,0.5558000206947327,-0.45973071455955505
1,,,5.870132923126221,215,,,,
,9.500000000050003e-05,9.500000000050003e-05,,249,,,,
2,,,,249,0.564453125,-0.47944945096969604,,
,9.500000000050003e-05,9.500000000050003e-05,,299,,,,
2,,,,299,0.60546875,-0.5302025079727173,,
2,,,,323,,,0.5726000070571899,-0.5164604783058167
2,,,5.08750581741333,323,,,,
,9.500000000050003e-05,9.500000000050003e-05,,349,,,,
3,,,,349,0.578125,-0.531686007976532,,
,9.500000000050003e-05,9.500000000050003e-05,,399,,,,
3,,,,399,0.576171875,-0.5378089547157288,,
3,,,,431,,,0.6453999876976013,-0.5705463886260986
3,,,7.685336112976074,431,,,,
,9.500000000050003e-05,9.500000000050003e-05,,449,,,,
4,,,,449,0.671875,-0.6007999777793884,,
,9.500000000050003e-05,9.500000000050003e-05,,499,,,,
4,,,,499,0.65234375,-0.6026234030723572,,
4,,,,539,,,0.6669999957084656,-0.6142954230308533
4,,,4.1266961097717285,539,,,,
,9.500000000050003e-05,9.500000000050003e-05,,549,,,,
5,,,,549,0.685546875,-0.6371216177940369,,
,9.500000000050003e-05,9.500000000050003e-05,,599,,,,
5,,,,599,0.65234375,-0.6124772429466248,,
5,,,,647,,,0.671999990940094,-0.6316507458686829
5,,,7.218362331390381,647,,,,
,9.500000000050003e-05,9.500000000050003e-05,,649,,,,
6,,,,649,0.69140625,-0.6594616770744324,,
,9.500000000050003e-05,9.500000000050003e-05,,699,,,,
6,,,,699,0.6484375,-0.6218642592430115,,
,9.500000000050003e-05,9.500000000050003e-05,,749,,,,
6,,,,749,0.669921875,-0.636092483997345,,
6,,,,755,,,0.6759999990463257,-0.6429708003997803
6,,,6.243680000305176,755,,,,
,9.500000000050003e-05,9.500000000050003e-05,,799,,,,
7,,,,799,0.69140625,-0.6563047170639038,,
,9.500000000050003e-05,9.500000000050003e-05,,849,,,,
7,,,,849,0.716796875,-0.6548010110855103,,
7,,,,863,,,0.7400000095367432,-0.6771833896636963
7,,,5.31884241104126,863,,,,
,9.500000000050003e-05,9.500000000050003e-05,,899,,,,
8,,,,899,0.7265625,-0.6835923194885254,,
,9.500000000050003e-05,9.500000000050003e-05,,949,,,,
8,,,,949,0.72265625,-0.6786507964134216,,
8,,,,971,,,0.7512000203132629,-0.7076340317726135
8,,,5.690670013427734,971,,,,
,9.500000000050003e-05,9.500000000050003e-05,,999,,,,
9,,,,999,0.744140625,-0.6998682022094727,,
,9.500000000050003e-05,9.500000000050003e-05,,1049,,,,
9,,,,1049,0.73828125,-0.705752432346344,,
9,,,,1079,,,0.7573999762535095,-0.7204772233963013
9,,,4.901566982269287,1079,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1099,,,,
10,,,,1099,0.794921875,-0.7514155507087708,,
,9.500000000050003e-05,9.500000000050003e-05,,1149,,,,
10,,,,1149,0.728515625,-0.6972405910491943,,
10,,,,1187,,,0.7594000101089478,-0.72803795337677
10,,,3.9273831844329834,1187,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1199,,,,
11,,,,1199,0.7578125,-0.7209742069244385,,
,9.500000000050003e-05,9.500000000050003e-05,,1249,,,,
11,,,,1249,0.74609375,-0.7195635437965393,,
11,,,,1295,,,0.7623999714851379,-0.734080970287323
11,,,5.360281467437744,1295,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1299,,,,
12,,,,1299,0.779296875,-0.7500289678573608,,
,9.500000000050003e-05,9.500000000050003e-05,,1349,,,,
12,,,,1349,0.78125,-0.7521147131919861,,
,9.500000000050003e-05,9.500000000050003e-05,,1399,,,,
12,,,,1399,0.759765625,-0.7271241545677185,,
12,,,,1403,,,0.7634000182151794,-0.7385473847389221
12,,,5.730342864990234,1403,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1449,,,,
13,,,,1449,0.759765625,-0.7359949350357056,,
,9.500000000050003e-05,9.500000000050003e-05,,1499,,,,
13,,,,1499,0.73046875,-0.7187068462371826,,
13,,,,1511,,,0.7648000121116638,-0.7423220872879028
13,,,5.95182466506958,1511,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1549,,,,
14,,,,1549,0.7890625,-0.7617685794830322,,
,9.500000000050003e-05,9.500000000050003e-05,,1599,,,,
14,,,,1599,0.771484375,-0.747814953327179,,
14,,,,1619,,,0.7663999795913696,-0.7454638481140137
14,,,6.549383640289307,1619,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1649,,,,
15,,,,1649,0.76953125,-0.7539553046226501,,
,9.500000000050003e-05,9.500000000050003e-05,,1699,,,,
15,,,,1699,0.80859375,-0.7865976095199585,,
15,,,,1727,,,0.7685999870300293,-0.7480671405792236
15,,,5.022800445556641,1727,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1749,,,,
16,,,,1749,0.765625,-0.7502508163452148,,
,9.500000000050003e-05,9.500000000050003e-05,,1799,,,,
16,,,,1799,0.740234375,-0.7254538536071777,,
16,,,,1835,,,0.7702000141143799,-0.7507067322731018
16,,,3.000904083251953,1835,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1849,,,,
17,,,,1849,0.75390625,-0.7388001680374146,,
,9.500000000050003e-05,9.500000000050003e-05,,1899,,,,
17,,,,1899,0.76171875,-0.7442075610160828,,
17,,,,1943,,,0.7710000276565552,-0.752571165561676
17,,,7.643762111663818,1943,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1949,,,,
18,,,,1949,0.7578125,-0.7428326606750488,,
,9.500000000050003e-05,9.500000000050003e-05,,1999,,,,
18,,,,1999,0.763671875,-0.7502172589302063,,
18,,,7.637417316436768,1999,,,,
