epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.005,0.005,,49,,,,
0,,,,49,0.740234375,-0.7172183394432068,,
,0.005,0.005,,99,,,,
0,,,,99,0.751953125,-0.7396464347839355,,
0,,,,107,,,0.7495999932289124,-0.7255551815032959
0,,,9.897468566894531,107,,,,
,0.005,0.005,,149,,,,
1,,,,149,0.7265625,-0.7236564755439758,,
,0.005,0.005,,199,,,,
1,,,,199,0.759765625,-0.7508898377418518,,
1,,,,215,,,0.7527999877929688,-0.7433185577392578
1,,,8.044333457946777,215,,,,
,0.005,0.005,,249,,,,
2,,,,249,0.822265625,-0.8054100275039673,,
,0.005,0.005,,299,,,,
2,,,,299,0.830078125,-0.816705048084259,,
2,,,,323,,,0.8320000171661377,-0.8180381059646606
2,,,10.056145668029785,323,,,,
,0.005,0.005,,349,,,,
3,,,,349,0.826171875,-0.8158993124961853,,
,0.005,0.005,,399,,,,
3,,,,399,0.8046875,-0.7993761301040649,,
3,,,,431,,,0.8360000252723694,-0.8246821165084839
3,,,9.15343189239502,431,,,,
,0.005,0.005,,449,,,,
4,,,,449,0.86328125,-0.8509897589683533,,
,0.005,0.005,,499,,,,
4,,,,499,0.822265625,-0.8144128322601318,,
4,,,,539,,,0.8320000171661377,-0.8213638663291931
4,,,7.302715301513672,539,,,,
,0.005,0.005,,549,,,,
5,,,,549,0.84765625,-0.833136796951294,,
,0.005,0.005,,599,,,,
5,,,,599,0.849609375,-0.8382178544998169,,
5,,,,647,,,0.8396000266075134,-0.8268909454345703
5,,,11.136747360229492,647,,,,
,0.005,0.005,,649,,,,
6,,,,649,0.84375,-0.8378247022628784,,
,0.005,0.005,,699,,,,
6,,,,699,0.857421875,-0.8378782272338867,,
,0.005,0.005,,749,,,,
6,,,,749,0.849609375,-0.8371731042861938,,
6,,,,755,,,0.8363999724388123,-0.8278241157531738
6,,,5.462550640106201,755,,,,
,0.005,0.005,,799,,,,
7,,,,799,0.849609375,-0.8351196646690369,,
,0.005,0.005,,849,,,,
7,,,,849,0.8203125,-0.8115329146385193,,
7,,,,863,,,0.8349999785423279,-0.8268595933914185
7,,,6.396782398223877,863,,,,
,0.005,0.005,,899,,,,
8,,,,899,0.837890625,-0.8257579207420349,,
,0.005,0.005,,949,,,,
8,,,,949,0.80859375,-0.8049830198287964,,
8,,,,971,,,0.8424000144004822,-0.83465975522995
8,,,7.026500225067139,971,,,,
,0.005,0.005,,999,,,,
9,,,,999,0.84765625,-0.8399479389190674,,
,0.005,0.005,,1049,,,,
9,,,,1049,0.828125,-0.8193709254264832,,
9,,,,1079,,,0.8393999934196472,-0.8323726654052734
9,,,5.31898307800293,1079,,,,
,0.005,0.005,,1099,,,,
10,,,,1099,0.8515625,-0.8483390808105469,,
,0.005,0.005,,1149,,,,
10,,,,1149,0.814453125,-0.809349775314331,,
10,,,,1187,,,0.8414000272750854,-0.8344871997833252
10,,,6.653527736663818,1187,,,,
,0.005,0.005,,1199,,,,
11,,,,1199,0.845703125,-0.8397707343101501,,
,0.005,0.005,,1249,,,,
11,,,,1249,0.85546875,-0.8439923524856567,,
11,,,,1295,,,0.8417999744415283,-0.8352074027061462
11,,,8.957012176513672,1295,,,,
,0.005,0.005,,1299,,,,
12,,,,1299,0.8671875,-0.8535314798355103,,
,0.005,0.005,,1349,,,,
12,,,,1349,0.849609375,-0.8406314253807068,,
,0.005,0.005,,1399,,,,
12,,,,1399,0.83984375,-0.8311395049095154,,
12,,,,1403,,,0.83160001039505,-0.8224126100540161
12,,,7.598041534423828,1403,,,,
,0.005,0.005,,1449,,,,
13,,,,1449,0.822265625,-0.8204764723777771,,
,0.005,0.005,,1499,,,,
13,,,,1499,0.826171875,-0.8175336122512817,,
13,,,,1511,,,0.8379999995231628,-0.828797459602356
13,,,6.992815971374512,1511,,,,
,0.005,0.005,,1549,,,,
14,,,,1549,0.857421875,-0.8487930297851562,,
,0.005,0.005,,1599,,,,
14,,,,1599,0.84765625,-0.8372541666030884,,
14,,,,1619,,,0.8339999914169312,-0.8253707885742188
14,,,6.305199146270752,1619,,,,
,0.005,0.005,,1649,,,,
15,,,,1649,0.849609375,-0.8412885069847107,,
,0.005,0.005,,1699,,,,
15,,,,1699,0.88671875,-0.8798300623893738,,
15,,,,1727,,,0.8429999947547913,-0.8338882923126221
15,,,7.757711887359619,1727,,,,
,0.005,0.005,,1749,,,,
16,,,,1749,0.8515625,-0.8417069911956787,,
,0.005,0.005,,1799,,,,
16,,,,1799,0.84765625,-0.8386470675468445,,
16,,,,1835,,,0.8432000279426575,-0.837222158908844
16,,,10.122118949890137,1835,,,,
,0.005,0.005,,1849,,,,
17,,,,1849,0.85546875,-0.8472892642021179,,
,0.005,0.005,,1899,,,,
17,,,,1899,0.830078125,-0.8221873641014099,,
17,,,,1943,,,0.8461999893188477,-0.8394978642463684
17,,,7.698915481567383,1943,,,,
,0.005,0.005,,1949,,,,
18,,,,1949,0.830078125,-0.8206603527069092,,
,0.005,0.005,,1999,,,,
18,,,,1999,0.861328125,-0.8544458746910095,,
18,,,7.624851226806641,1999,,,,
