epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.019000000000099996,0.019000000000099996,,1249,,,,
11,,,,1249,0.974609375,-0.9700713157653809,,
11,,,,1295,,,0.9556000232696533,-0.9507346749305725
11,,,7.881507396697998,1295,,,,
,0.019000000000099996,0.019000000000099996,,1299,,,,
12,,,,1299,0.962890625,-0.959248423576355,,
,0.019000000000099996,0.019000000000099996,,1349,,,,
12,,,,1349,0.955078125,-0.9542135000228882,,
,0.019000000000099996,0.019000000000099996,,1399,,,,
12,,,,1399,0.94921875,-0.9460415244102478,,
12,,,,1403,,,0.9574000239372253,-0.9537601470947266
12,,,7.887649059295654,1403,,,,
,0.019000000000099996,0.019000000000099996,,1449,,,,
13,,,,1449,0.96484375,-0.9577980041503906,,
,0.019000000000099996,0.019000000000099996,,1499,,,,
13,,,,1499,0.95703125,-0.9559170007705688,,
13,,,,1511,,,0.9491999745368958,-0.9447988271713257
13,,,5.776247978210449,1511,,,,
,0.019000000000099996,0.019000000000099996,,1549,,,,
14,,,,1549,0.966796875,-0.9662131667137146,,
,0.019000000000099996,0.019000000000099996,,1599,,,,
14,,,,1599,0.974609375,-0.9691364169120789,,
14,,,,1619,,,0.9526000022888184,-0.9492019414901733
14,,,6.479094982147217,1619,,,,
,0.019000000000099996,0.019000000000099996,,1649,,,,
15,,,,1649,0.958984375,-0.9561647176742554,,
,0.019000000000099996,0.019000000000099996,,1699,,,,
15,,,,1699,0.95703125,-0.9548295140266418,,
15,,,,1727,,,0.9581999778747559,-0.9544021487236023
15,,,7.795063495635986,1727,,,,
,0.019000000000099996,0.019000000000099996,,1749,,,,
16,,,,1749,0.96875,-0.9594974517822266,,
,0.019000000000099996,0.019000000000099996,,1799,,,,
16,,,,1799,0.96875,-0.9679356217384338,,
16,,,,1835,,,0.9575999975204468,-0.9556591510772705
16,,,3.869305372238159,1835,,,,
,0.019000000000099996,0.019000000000099996,,1849,,,,
17,,,,1849,0.974609375,-0.9677420854568481,,
,0.019000000000099996,0.019000000000099996,,1899,,,,
17,,,,1899,0.966796875,-0.9656469821929932,,
17,,,,1943,,,0.9513999819755554,-0.949087381362915
17,,,7.146951675415039,1943,,,,
,0.019000000000099996,0.019000000000099996,,1949,,,,
18,,,,1949,0.9765625,-0.9752463698387146,,
,0.019000000000099996,0.019000000000099996,,1999,,,,
18,,,,1999,0.974609375,-0.9706181287765503,,
18,,,10.138784408569336,1999,,,,
